"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Biomarker.logical.conditions","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"138","DOXORUBICIN",NA,"BREAST CANCER","CDK1, CCNA2, TOP2A, CCNB1, KIF11, MELK","gene expression, gene expression, gene expression, gene expression, gene expression,gene expression","positive, positive, positive, positive, positive, positive","OR,OR,OR,OR,OR","patients","31428132","Identification of Potential Crucial Genes and Key Pathways in Breast Cancer Using Bioinformatic Analysis.","These results revealed that
mitotic cell cycle and epithelial-to-mesenchymal transition pathway could be potential pathways accounting for the progression in breast cancer, and CDK1,
CCNA2, TOP2A, CCNB1, KIF11, and MELK may be potential crucial genes.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31428132","Drug names are mentioned in the abstract.","DB00997","443939","ENSG00000170312, ENSG00000145386, ENSG00000131747, ENSG00000134057, ENSG00000138160, ENSG00000165304","MONDO_0007254","CDK1 GENE EXPRESSION POSITIVE OR CCNA2 GENE EXPRESSION POSITIVE OR TOP2A GENE EXPRESSION POSITIVE OR CCNB1 GENE EXPRESSION POSITIVE OR KIF11 GENE EXPRESSION POSITIVE OR MELK GENE EXPRESSION POSITIVE","pass"
"139","NA",NA,"BREAST CANCER BRAIN METASTASIS","α2,6-linked sialic acids","metabolite abundance","positive",NA,"animal","31430160","Revealing the Biological Attributes of N-Glycan Isomers in Breast Cancer Brain Metastasis Using Porous Graphitic Carbon (PGC) Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS).","Furthermore, the increase of the α2,6-sialylation level in 231BR likely
contributes to the passage of breast cancer cells through the blood-brain barrier, thus facilitating breast cancer brain metastasis. Meanwhile, the
upregulation of highly sialylated glycan isomers with α2,6-linked sialic acids were found to be associated with breast cancer metastasis","https://www.ncbi.nlm.nih.gov/pubmed/?term=31430160","The in vivo model was not stated in the abstract.","NA","56956252","NA, NA","MONDO_0007254","failed","failed biomarker,failed term"
"140","NA",NA,"MISING",NA,NA,NA,NA,NA,"31431362","Identification of side arm-modified DOTA scaffolds as multi-site binding ligands for cancer cells over normal cells.",NA,"https://www.ncbi.nlm.nih.gov/pubmed/?term=31431362",NA,"NA","56956252","ENSG00000183023","NA","NA NA NA","no biomarker,failed disease"
"141","NA",NA,"MISING",NA,NA,NA,NA,NA,"31440080","Evaluating the prognostic significance of tumor-infiltrating lymphocytes in solid tumor: practice of a standardized method from the International Immuno-Oncology Biomarkers Working Group.",NA,"https://www.ncbi.nlm.nih.gov/pubmed/?term=31440080",NA,"NA","56956252","ENSG00000183023","NA","NA NA NA","no biomarker,failed disease"
"142","NA",NA,"BREAST CANCER","CRP,HbA1c","protein expression, protein expression","positive, positive","AND","patients","31443226","Associations between Dietary Acid Load and Biomarkers of Inflammation and Hyperglycemia in Breast Cancer Survivors.","Our study identifies a novel dietary factor that may lead to inflammation and hyperglycemia, both of which are strong risk factors for breast cancer recurrence and comorbidities.
","https://www.ncbi.nlm.nih.gov/pubmed/?term= 31443226","No drug was mentioned in the abstract.","NA","56956252","ENSG00000132693, NA","MONDO_0007254","CRP PROTEIN EXPRESSION POSITIVE AND HBA1C PROTEIN EXPRESSION POSITIVE","pass"
"143","NA",NA,"BREAST CANCER","tDR-7816,tDR-5334,tDR-4733","gene expression, gene expression, gene expression","positive, positive, positive","AND, AND","breast cancer cell lines","31535382","Serum tRNA-derived fragments (tRFs) as potential candidates for diagnosis of nontriple negative breast cancer.","Our results provide a rationale for using circulating tDR-7816 expression as a novel potential biomarker for the diagnosis of patients with early non-TNBC.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31535382","No drug was mentioned in the abstract.","NA","56956252","NA, NA, NA","MONDO_0007254","TDR-7816 GENE EXPRESSION POSITIVE AND TDR-5334 GENE EXPRESSION POSITIVE AND TDR-4733 GENE EXPRESSION POSITIVE","failed biomarker"
"144","NA",NA,"BREAST CANCER","miRNA-141","gene expression","positve",NA,"patients","31532182","Multimode MicroRNA Sensing via Multiple Enzyme-Free Signal Amplification and Cation-Exchange Reaction.","In this work, miRNA-141 was selected as a representative target
","https://www.ncbi.nlm.nih.gov/pubmed/?term= 31532182",NA,"NA","56956252","NA","MONDO_0007254","MIRNA-141 GENE EXPRESSION POSITVE","failed biomarker"
"145","NA",NA,"BREAST CANCER",NA,NA,NA,NA,NA,"31534156","Multi-view based integrative analysis of gene expression data for identifying biomarkers.",NA,"https://www.ncbi.nlm.nih.gov/pubmed/?term=31534156",NA,"NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"146","NA",NA,"BREAST CANCER","S100A8/A9,CA15-3","protein expression, protein expression","positive, positive","AND","patients","31528166","Clinical Value of Serum S100A8/A9 and CA15-3 in the Diagnosis of Breast Cancer.","According to our data as well as other observations, the S100A8/A9
heterodimer can be considered as a potential biomarker for the proper diagnosis and prognosis of breast cancer.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31528166","No drug was mentioned in the abstract.","NA","56956252","NA, NA","MONDO_0007254","S100A8/A9 PROTEIN EXPRESSION POSITIVE AND CA15-3 PROTEIN EXPRESSION POSITIVE","failed biomarker"
"147","NA",NA,"BREAST CANCER:","MSH2, MSH6 ,MLH1,PMS2","gene expression, gene expression, gene expression,gene expression","negative, negative, negative, negative","OR,OR,OR","patients","31522348","Mismatch repair protein loss in breast cancer: clinicopathological associations in a large British Columbia cohort.","Breast cancer patients 
with MMR deficiency as assessed by immunohistochemistry may be good candidates for alternative treatment approaches such as immune checkpoint or CDK4 inhibitors.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31522348","No drug was mentioned in the abstract.","NA","56956252","ENSG00000095002, ENSG00000116062, ENSG00000076242, ENSG00000122512","MONDO_0007254","MSH2 GENE EXPRESSION NEGATIVE OR MSH6 GENE EXPRESSION NEGATIVE OR MLH1 GENE EXPRESSION NEGATIVE OR PMS2 GENE EXPRESSION NEGATIVE","pass"
"148","NA",NA,"MISING",NA,NA,NA,NA,NA,"31520518","Diffusion MRI of the breast: Current status and future directions.",NA,"https://www.ncbi.nlm.nih.gov/pubmed/?term=31520518",NA,"NA","56956252","ENSG00000183023","NA","NA NA NA","no biomarker,failed disease"
"149","NA",NA,"BREAST CANCER","ABC transporters","protein expression","positive",NA,"patients","32010961","Germline variant burden in multidrug resistance transporters is a therapy-specific predictor of survival in breast cancer patients.","Multidrug resistance due to facilitated drug efflux mediated by ATP-binding cassette (ABC) transporters is a main cause for failure of cancer therapy.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=32010961","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","ABC TRANSPORTERS PROTEIN EXPRESSION POSITIVE","failed biomarker"
"150","CAPIVASERTIB",NA,"ER+ INVASIVE BREAST CANCER","ESR1, pPRAS40, pGSK3β, Ki6","protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive","AND, OR,OR","patients","31836609","Proliferation and AKT Activity Biomarker Analyses after Capivasertib (AZD5363) Treatment of Patients with ER+ Invasive Breast Cancer (STAKT).","Capivasertib 480 mg b.i.d. rapidly modulates key biomarkers of the
AKT pathway and decreases proliferation marker Ki67, suggesting future potential as an effective therapy in AKT-dependent breast cancers.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31836609","Drug names are mentioned in the abstract.","DB12218","25227436","ENSG00000091831, NA, NA, NA","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PPRAS40 PROTEIN EXPRESSION POSITIVE OR PGSK3Β PROTEIN EXPRESSION POSITIVE OR KI6 PROTEIN EXPRESSION POSITIVE","pass"
"151","CAPIVASERTIB, PACLITAXEL",NA,"ESTROGEN RECEPTOR-POSITIVE ADVANCED OR METASTATIC BREAST CANCER","ESR1, ERBB2, PIK3CA","protein expression, protein expression, mutation","positive, negative, positive","AND, AND","patients","30860570","BEECH: a dose-finding run-in followed by a randomised phase II study assessing the efficacy of AKT inhibitor capivasertib (AZD5363) combined with paclitaxel in patients with estrogen receptor-positive advanced or metastatic breast cancer, and in a PIK3CA mutant sub-population.","Capivasertib had no apparent impact on the tolerability and dose intensity of paclitaxel. Adding capivasertib to weekly paclitaxel did not prolong PFS in the overall population or PIK3CA+ sub-population of ER+/HER2-advanced/metastatic breast cancer patients.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=30860570","Drug names are mentioned in the abstract.","DB12218,DB01229","25227436, 36314","ENSG00000091831, ENSG00000141736, ENSG00000121879","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND PIK3CA MUTATION POSITIVE","pass"
"152","CAPIVASERTIB",NA,"OESTROGEN RECEPTOR-POSITIVE BREAST CANCER","PTEN, PIK3CA","mutation","positive, positive","OR","patients","32035020","Fulvestrant plus capivasertib versus placebo after relapse or progression on an aromatase inhibitor in metastatic, oestrogen receptor-positive breast cancer (FAKTION): a multicentre, randomised, controlled, phase 2 trial
","Capivasertib (AZD5363) is a potent selective oral inhibitor of all three isoforms of the serine/threonine kinase AKT. The FAKTION trial investigated whether the addition of capivasertib to fulvestrant improved progression-free survival in patients with aromatase inhibitor-resistant advanced breast cancer.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=32035020","Drug name is mentioned in the abstract.","DB12218","25227436","ENSG00000171862, ENSG00000121879","MONDO_0007254","failed","failed term"
"153","CAPIVASERTIB",NA,"TNBC","PI3K,AKT,PTEN","protein expression,   others, gene expression","positive, positive, negative","OR,OR,OR","patients","31841354","Capivasertib Plus Paclitaxel Versus Placebo Plus Paclitaxel As First-Line Therapy for Metastatic Triple-Negative Breast Cancer: The PAKT Trial.","Addition of the AKT inhibitor capivasertib to first-line paclitaxel
therapy for TNBC resulted in significantly longer PFS and OS. Benefits were more  pronounced in patients with PIK3CA/AKT1/PTEN-altered tumors. Capivasertib
warrants further investigation for treatment of TNBC.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31841354","Drug name is mentioned in the abstract.","DB12218","25227436","ENSG00000121879, ENSG00000166971, ENSG00000171862","NA","failed","failed disease,failed term"
"154","MK-2206",NA,"BREAST CANCER","PIK3CA, AKT, PTEN","mutation, mutation, gene expression","positive, positive, negative","OR,OR,OR","patients","31277699","Phase II trial of AKT inhibitor MK-2206 in patients with advanced breast cancer who have tumors with PIK3CA or AKT mutations, and/or PTEN loss/PTEN mutation.","MK-2206 monotherapy had limited clinical activity in advanced breast
cancer patients selected for PIK3CA/AKT1 or PTEN mutations or PTEN loss. This may, in part, be due to inadequate target inhibition at tolerable doses in heavily pre-treated patients with pathway activation, as well as tumor heterogeneity and evolution in markers such as PTEN conferring challenges in patient selection.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31277699","Drug name is mentioned in the abstract.","NA","24964624","ENSG00000121879, ENSG00000166971, ENSG00000171862","MONDO_0007254","failed","failed term"
"155","LAPATINIB",NA,"HER3-HIGH BREAST CANCER","
EGFR, HER4,  ERBB2,HER3, Ki67,ESR1, PGR, Pakt, PERK, Stathmin","gene expression, gene expression, gene expression, gene expression, protein expression,protein expression,protein expression,protein expression,protein expression,protein expression","positive,positive, positive,positive, positive,negative, negative,negative, negative,negative","AND,AND,AND,AND,AND,OR,OR,OR,OR,OR,OR","patients","25398453","Antiproliferative Effect of Lapatinib in HER2-Positive and HER2Negative/HER3-High Breast Cancer: Results of the Presurgical Randomized MAPLE Trial (CRUK E/06/039).","Lapatinib has antiproliferative effects in a subgroup of HER2(-) nonamplified tumors characterized by high HER3 expression. The possible role of high HER2:HER3 heterodimers in predicting response to lapatinib merits investigation in HER2(-) tumors.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=25398453","Drug name is mentioned in the abstract.complicated","DB01259","208908","ENSG00000146648, ENSG00000178568, ENSG00000141736, ENSG00000065361, ENSG00000148773, ENSG00000091831, ENSG00000082175, NA, ENSG00000172071, ENSG00000117632","MONDO_0007254","failed","failed term"
"156","NA",NA,"ESTROGEN RECEPTOR-POSITIVE BREAST CANCER","ESR1,PI3K,mTOR","protein expression, protein expression, others","positive, positive,positive","AND,AND,AND","patients","19380449","Phase II randomized study of neoadjuvant everolimus plus letrozole compared with placebo plus letrozole in patients with estrogen receptor-positive breast cancer.","Everolimus significantly increased letrozole efficacy in neoadjuvant 
therapy of patients with ER-positive breast cancer.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=19380449","No drug was mentioned in the abstract.","NA","56956252","ENSG00000091831, ENSG00000121879, ENSG00000198793","EFO_1000649","failed","failed term"
"157","PAN-PI3K INHIBITOR",NA,"BREAST CANCER","ERBB2, PI3K","protein expression, protein expression","negative, positive","AND","patients","28576675","Buparlisib plus fulvestrant versus placebo plus fulvestrant in postmenopausal, hormone receptor-positive, HER2-negative, advanced breast cancer (BELLE-2): arandomised, double-blind, placebo-controlled, phase 3 trial.","PI3K inhibition combined
with endocrine therapy is effective in postmenopausal women with
endocrine-resistant, hormone receptor-positive and HER2-negative advanced breast  cancer. 
","https://www.ncbi.nlm.nih.gov/pubmed/?term=28576675","Drug name is mentioned in the abstract.","NA","NA","ENSG00000141736, ENSG00000121879","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PI3K PROTEIN EXPRESSION POSITIVE","failed drug"
"158","NA",NA,"HER2-POSITIVE, ER-POSITIVE BREAST CANCER","ERBB2,ESR1, RB1","protein expression, protein expression, protein expression","negative, negative, negative","AND,AND","patients","29326029","Neoadjuvant treatment with trastuzumab and pertuzumab plus palbociclib and fulvestrant in HER2-positive, ER-positive breast cancer (NA-PHER2): an exploratory, open-label, phase 2 study.","Triple targeting of ER, HER2, and RB1 in HER2-positive and ER-positive breast cancer could be an effective chemotherapy-free treatment strategy. 
","https://www.ncbi.nlm.nih.gov/pubmed/?term=29326029","No drug was mentioned in the abstract.","NA","56956252","ENSG00000141736, ENSG00000091831, ENSG00000139687","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND RB1 PROTEIN EXPRESSION NEGATIVE","pass"
"159","RAD001",NA,"BREAST CANCER","mTOR","protein expression",NA,NA,"patients","20941539","The mammalian target of rapamycin inhibitor everolimus (RAD001) in early breast cancer: results of a pre-operative study.","mTOR plays a key role in tumor cell cycle control, proliferation, and survival. RAD001 (everolimus) is a novel macrolide that inhibits mTOR and thus downstream signaling pathways. 
","https://www.ncbi.nlm.nih.gov/pubmed/?term=20941539","Drug name is mentioned in the abstract.","NA","6442177","ENSG00000198793","MONDO_0007254","MTOR PROTEIN EXPRESSION NA","pass"
"160","LAPATINIB",NA,"HER-2-NEGATIVE EARLY BREAST CANCER","Ki67,HER-3, FOXO3a, FOXM1, p-AKT","protein expression, protein expression, protein expression, protein expression,  protein expression","negative, negative, negative,  negative,  negative","OR,OR,OR,OR","patients","23233650","An open-label study of lapatinib in women with HER-2-negative early breast cancer: the lapatinib pre-surgical study (LPS study).","Overall, a pre-surgical course of lapatinib monotherapy had little
effect on this group of patients; however, in subsets of patients, especially those with HER-3-positive tumors, we observed either reduction in proliferation (Ki67) or tumor size; EGFR/ER status had no impact
","https://www.ncbi.nlm.nih.gov/pubmed/?term=23233650","Drug name is mentioned in the abstract.","DB01259","208908","ENSG00000148773, NA, ENSG00000118689, ENSG00000111206, NA","MONDO_0007254","KI67 PROTEIN EXPRESSION NEGATIVE OR HER-3 PROTEIN EXPRESSION NEGATIVE OR FOXO3A PROTEIN EXPRESSION NEGATIVE OR FOXM1 PROTEIN EXPRESSION NEGATIVE OR P-AKT PROTEIN EXPRESSION NEGATIVE","pass"
"161","MK-2206",NA,"ER-POSITIVE AND HER2-NEGATIVE BREAST CANCER","PIK3CA, AKT","geneexpression, protein expression","positive, positive","OR","patients","28874413","A Phase II Trial of Neoadjuvant MK-2206, an AKT Inhibitor, with Anastrozole in Clinical Stage II or III PIK3CA-Mutant ER-Positive and HER2-Negative Breast Cancer.","MK-2206 is unlikely to add to the efficacy of anastrozole
alone in PIK3CA-mutant ER+ breast cancer and should not be studied further in the target patient population. 
","https://www.ncbi.nlm.nih.gov/pubmed/?term=28874413","Drug name is mentioned in the abstract.","NA","24964624","ENSG00000121879, ENSG00000166971","MONDO_0007254","PIK3CA GENEEXPRESSION POSITIVE OR AKT PROTEIN EXPRESSION POSITIVE","pass"
"162","AZD 5363, AZD 8931",NA,"HER2-AMPLIFIED BREAST CANCER","ERBB2,HER3,
PI3K, AKT, mTOR, ERK","protein expression & amplification, protein expression, others, others, others, others","positive, positive, positive, positive, positive, positive","AND,
,OR,OR,OR,OR","patients","26095475","Combining AZD8931, a novel EGFR/HER2/HER3 signalling inhibitor, with AZD5363 limits AKT inhibitor induced feedback and enhances antitumour efficacy in HER2-amplified breast cancer models.","We conclude that the activity of AZD5363 in HER2-amplified breast
cancer cells is enhanced by the addition of AZD8931 and that dual targeting of AKT and EGFR,HER,HER3 signalling is an attractive treatment option to be
explored in the clinic.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=26095475","No drug was mentioned in the abstract.","NA,NA","25227436, 11488320","ENSG00000141736, ENSG00000065361, ENSG00000121879, ENSG00000166971, ENSG00000198793, ENSG00000169032","MONDO_0007254","failed","failed term"
"163","IPATASERTIB, PACLITAXEL",NA,"TRIPLE-NEGATIVE BREAST CANCER","PI3K/AKT","others","negative, negative","OR","patients","28800861","Ipatasertib plus paclitaxel versus placebo plus paclitaxel as first-line therapy for metastatic triple-negative breast cancer (LOTUS): a multicentre,randomised,double-blind, placebo-controlled, phase 2 trial.","To our knowledge, these are the
first results supporting AKT-targeted therapy for triple-negative breast cancer.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=28800861","Drug name is mentioned in the abstract.","DB11743,DB01229","24788740, 36314","ENSG00000170820","EFO_0005537","failed","failed term"
"164","SPRMS",NA,"BREAST CANCER","PI3K/AKT/mTOR","others","negative, negative, negative","OR/OR","patients","29223745","Buparlisib plus fulvestrant in postmenopausal women with hormone-receptor-positive, HER2-negative, advanced breast cancer progressing on or after mTOR inhibition (BELLE-3): a randomised, double-blind, placebo-controlled, phase 3 trial.","The efficacy of buparlisib supports the rationale for the use of PI3K inhibitors plus endocrine therapy in patients with PIK3CA mutations.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=29223745","No drug was mentioned in the abstract.","NA","NA","NA","MONDO_0007254","failed","failed drug,failed biomarker,failed term"
"165","NA",NA,"BREAST CANCER","Ki67,ERBB2","protein expression, protein expression","positive, negative","OR","patients","31570566","Selective Progesterone Receptor Modulators in Early-Stage Breast Cancer: A Randomized, Placebo-Controlled Phase II Window-of-Opportunity Trial Using Telapristone Acetate.","Selective progesterone receptor modulators (SPRMs) show preclinical activity against hormone-sensitive breast cancer, but have not been tested in patients with early, treatment-naïve tumors.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31570566","No drug was mentioned in the abstract.","NA","56956252","ENSG00000148773, ENSG00000141736","MONDO_0007254","KI67 PROTEIN EXPRESSION POSITIVE OR ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"166","VITAMIN D",NA,"BREAST CANCER","IGF-1,IGF-1/IGFBP-3","protein expression, protein expression, protein expression","positive, positive, positive","AND,AND","patients","31138522","Randomized Double-Blind Placebo-Controlled Biomarker Modulation Study of Vitamin D Supplementation in Premenopausal Women at High Risk for Breast Cancer (SWOGS0812).","This trial does not support the use of vitamin D supplementation for breast cancer risk reduction.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31138522","Drug name is mentioned in the abstract.","DB11094","5280795","ENSG00000259384, NA","MONDO_0007254","failed","failed term"
"167","NA",NA,"POSTMENOPAUSAL BREAST CANCER","ER-β, ER-α, Ki 67","protein expression, protein expression,  protein expression","positive, positive, positive","AND,OR","patients","24047421","Estrogen receptor alpha/beta ratio and estrogen receptor beta as predictors of endocrine therapy responsiveness-a randomized neoadjuvant trial comparison between anastrozole and tamoxifen for the treatment of postmenopausal breast cancer.","The role of estrogen receptor beta (ER-β) in breast cancer (BC)
remains unclear. Some studies have suggested that ER-β may oppose the actions of  estrogen receptor alpha (ER-α), and clinical evidence has indicated that the loss of ER-β expression is associated with a poor prognosis and resistance to
endocrine therapy.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=24047421","No drug was mentioned in the abstract.","NA","56956252","NA, NA, ENSG00000148773","MONDO_0007254","ER-Β PROTEIN EXPRESSION POSITIVE AND ER-Α PROTEIN EXPRESSION POSITIVE OR KI 67 PROTEIN EXPRESSION POSITIVE","failed biomarker"
"168","LAPATINIB",NA,"HER-2-POSITIVE BREAST CANCER","EGFR,HER2,Ki67,PTEN","protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive","AND,AND, AND","patients","21685235","Lapatinib activity in premalignant lesions and HER-2-positive cancer of the breast in a randomized, placebo-controlled presurgical trial.","Short-term lapatinib decreased cell proliferation in DIN, DH, and invasive HER-2-positive(especially ER-negative) breast cancer, thus providing the rationale for further 
clinical development of lapatinib for breast cancer prevention in high-risk
patients, including those with HER-2-positive DIN.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=21685235","Drug name is mentioned in the abstract.","DB01259","208908","ENSG00000146648, ENSG00000141736, ENSG00000148773, ENSG00000171862","MONDO_0007254","EGFR PROTEIN EXPRESSION POSITIVE AND HER2 PROTEIN EXPRESSION POSITIVE AND KI67 PROTEIN EXPRESSION POSITIVE AND PTEN PROTEIN EXPRESSION POSITIVE","pass"
"169","EVEROLIMUS, TRASTUZUMAB",NA,"HER2-POSITIVE ADVANCED BREAST CANCER","ESR1, PGR, ERBB2","protein expression, protein expression, protein expression","negative, negative, positive","AND/OR, AND","patients","26092818","Combination of everolimus with trastuzumab plus paclitaxel as first-line treatment for patients with HER2-positive advanced breast cancer (BOLERO-1): aphase 3, randomised, double-blind, multicentre trial.","mTOR inhibition reverses trastuzumab resistance via the
hyperactivated PIK/AKT/mTOR pathway due to PTEN loss, by sensitising PTEN-deficient tumours to trastuzumab. 
","https://www.ncbi.nlm.nih.gov/pubmed/?term=26092818","Drug name is mentioned in the abstract.","DB01590,DB00072","6442177, 3001322","ENSG00000091831, ENSG00000082175, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"170","BEVACIZUMAB",NA,"BREAST CANCER","
VEGF-A
","
protein expression
","positive",NA,"others","31564802","An update on biomarkers of potential benefit with bevacizumab for breast cancer treatment: Do we make progress?","Current evidences indicate some predictive values for genetic variants, molecular imaging, VEGF pathway factors or associated factors in peripheral blood and gene profiling. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31564802",NA,"DB00112","NA","ENSG00000112715","MONDO_0007254","VEGF-A PROTEIN EXPRESSION POSITIVE","pass"
"171","NA",NA,"BREAST CANCER",NA,NA,NA,NA,"patients","31562584","Semi-automatic segmentation from intrinsically-registered 18F-FDG-PET/MRI for treatment response assessment in a breast cancer cohort: comparison to manual DCE-MRI.","Using PET/MRI, tumor area and mean ADC value estimated with a GMM-PET can replicate manual DCE tumor definition from MRI for monitoring neoadjuvant treatment response in breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31562584",NA,"NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"172","NA",NA,"BREAST CANCER","miRNA","gene expression","positive",NA,"cells","31549595","Determination of Dysregulated miRNA Expression Levels by qRT-PCR after the Application of Usnic Acid to Breast Cancer.","These miRNAs might play important regulatory roles in the tumorigenesis and development of breast cancer and they could serve as prognostic predictors for breast cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31549595",NA,"NA","56956252","ENSG00000037897","MONDO_0007254","MIRNA GENE EXPRESSION POSITIVE","pass"
"173","CABOZANTINIB, TRASTUZUMAB",NA,"BREAST CANCER BRAIN METASTASES (BCBM)","VEGFR 2","protein expression","positive",NA,"patients","31541381","A phase II study of cabozantinib alone or in combination with trastuzumab in breast cancer patients with brain metastases.","Cabozantinib had insufficient activity in heavily pretreated BCBM patients. Biomarker analysis showed that cabozantinib had antiangiogenic activity and increased tissue hypoxia.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31541381",NA,"DB08875,DB00072","25102846, 3001322","ENSG00000165197","MONDO_0007254","VEGFR 2 PROTEIN EXPRESSION POSITIVE","pass"
"174","NA",NA,"TRIPLE NEGATIVE BREAST CANCER (TNBC)","ESR1, PGR, ERBB2","protein expression,protein expression,protein expression","negative, negative, negative","AND,AND","patients","31536530","Clinical outcomes with neoadjuvant versus adjuvant chemotherapy for triple negative breast cancer: A report from the National Cancer Database.","NAC may be inferior to AC in TNBC, likely related to the high frequency of non-pCR following NAC.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31536530",NA,"NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"175","TAXANE, ANTHRACYCLINE",NA,"HER2-NEGATIVE BREAST CANCER","ERBB2, CA12, FOXA1,
MLPH, XBP1,
GATA3, MAGED 2","protein expression,  gene expression, gene expression, gene expression, gene expression, gene expression, gene expression","positive, positive, positive, positive, positive, positive, positive","AND, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR,","others","31534839","Network-based approach to identify biomarkers predicting response and prognosis for HER2-negative breast cancer treatment with taxane-anthracycline neoadjuvant chemotherapy.","Genes of CA12, FOXA1, MLPH, XBP1, GATA3 and MAGED2 might serve as novel biomarkers predicting chemotherapeutic response and prognosis for HER2-negative breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31534839",NA,"NA,NA","9548828, NA","ENSG00000141736, ENSG00000074410, ENSG00000129514, ENSG00000115648, ENSG00000100219, ENSG00000107485, NA","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND CA12 GENE EXPRESSION POSITIVE AND/OR FOXA1 GENE EXPRESSION POSITIVE AND/OR MLPH GENE EXPRESSION POSITIVE AND/OR XBP1 GENE EXPRESSION POSITIVE AND/OR GATA3 GENE EXPRESSION POSITIVE AND/OR MAGED 2 GENE EXPRESSION POSITIVE","pass"
"176","NA",NA,"BREAST CANCER PRECLINICAL MODELS.","PIK3CA","mutation","psitive",NA,"cell line","31534012","Predictive and Pharmacodynamic Biomarkers of Response to the Phosphatidylinositol 3-Kinase Inhibitor Taselisib in Breast Cancer Preclinical Models.","These data suggest that development of taselisib in breast cancer should occur in a PIK3CA-mutant setting with cotreatments determined by the specific subtypes under investigation.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31534012",NA,"NA","56956252","ENSG00000121879","MONDO_0007254","PIK3CA MUTATION PSITIVE","pass"
"177","NA",NA,"BREAST CANCER","
SNP","
polymorphism","positive",NA,"patients","31519601","The Influence of Adjuvant Radiotherapy and Single Nucleotide Polymorphisms on Circulating Immune Response Cell Numbers and Phenotypes of Patients With Breast Cancer.","The combination of RT and immunotherapy might provide optimal treatment for cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31519601",NA,"NA","56956252","ENSG00000145901","MONDO_0007254","SNP POLYMORPHISM POSITIVE","pass"
